epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,237.269,2.13977,1.61649,1.0056,0.75178,0.72233,0.75769,0.33194,1.90595,1.08147,0.93949,0.00033269,0.00033269,0.0670637
2,453.023,1.9318,1.16392,0.94801,0.78505,0.74369,0.78814,0.32413,1.99471,1.05735,0.94729,0.000652836,0.000652836,0.0340505
3,633.487,1.90074,1.10321,0.93088,0.7737,0.77674,0.81194,0.3589,1.87365,1.05869,0.921,0.000959782,0.000959782,0.00102413
4,803.039,1.87254,1.06547,0.92913,0.78398,0.73981,0.80532,0.37438,1.82291,1.01017,0.91447,0.0009406,0.0009406,0.0009406
5,972.801,1.81495,1.0437,0.92291,0.8161,0.74754,0.82105,0.37716,1.81033,1.01061,0.91234,0.0009208,0.0009208,0.0009208
6,1136.7,1.79821,1.02507,0.91679,0.80119,0.7699,0.83733,0.39576,1.76244,0.97802,0.9031,0.000901,0.000901,0.000901
7,1300.41,1.78472,1.00163,0.9128,0.80068,0.78204,0.84575,0.38599,1.78189,0.95773,0.90231,0.0008812,0.0008812,0.0008812
8,1465.48,1.76547,0.97638,0.90752,0.79328,0.82282,0.84747,0.39518,1.74833,0.9607,0.90016,0.0008614,0.0008614,0.0008614
9,1628.87,1.75302,0.96886,0.90772,0.80818,0.80485,0.85724,0.40158,1.7367,0.95017,0.89954,0.0008416,0.0008416,0.0008416
10,1792.41,1.77107,0.98358,0.91374,0.80449,0.79951,0.84657,0.40014,1.75816,0.95949,0.9002,0.0008218,0.0008218,0.0008218
11,1955.35,1.74207,0.95949,0.90674,0.814,0.81359,0.86087,0.39852,1.71755,0.91752,0.88954,0.000802,0.000802,0.000802
12,2118.31,1.73955,0.96398,0.90054,0.80027,0.81262,0.85946,0.40614,1.7418,0.9182,0.89604,0.0007822,0.0007822,0.0007822
13,2281.96,1.71926,0.93837,0.8995,0.80492,0.80049,0.85999,0.40955,1.7261,0.94461,0.89604,0.0007624,0.0007624,0.0007624
14,2445.27,1.71164,0.93333,0.89647,0.80628,0.83738,0.87531,0.41821,1.70238,0.89551,0.89393,0.0007426,0.0007426,0.0007426
15,2608.37,1.71374,0.94348,0.89689,0.80783,0.81117,0.86736,0.41596,1.70015,0.9264,0.89133,0.0007228,0.0007228,0.0007228
16,2771.6,1.70566,0.93114,0.89595,0.80007,0.83786,0.86365,0.4194,1.673,0.9053,0.88443,0.000703,0.000703,0.000703
17,2935.1,1.69552,0.92198,0.89737,0.79731,0.82873,0.86315,0.41069,1.68796,0.93391,0.88525,0.0006832,0.0006832,0.0006832
18,3098.87,1.6968,0.91466,0.88964,0.79743,0.837,0.87536,0.42217,1.67037,0.8948,0.8863,0.0006634,0.0006634,0.0006634
19,3266.57,1.69112,0.91081,0.89149,0.80682,0.81553,0.86105,0.39642,1.77155,0.92648,0.89659,0.0006436,0.0006436,0.0006436
20,3434.29,1.68081,0.90181,0.89131,0.81923,0.81616,0.87614,0.4242,1.70478,0.89342,0.8887,0.0006238,0.0006238,0.0006238
21,3597.89,1.66328,0.89274,0.89051,0.7959,0.83155,0.86871,0.42245,1.68204,0.89584,0.88722,0.000604,0.000604,0.000604
22,3761.18,1.67051,0.89912,0.88799,0.79987,0.84078,0.87188,0.42857,1.67175,0.88923,0.88275,0.0005842,0.0005842,0.0005842
23,3925.76,1.66692,0.88281,0.88949,0.80088,0.83738,0.87999,0.42923,1.67867,0.87162,0.88677,0.0005644,0.0005644,0.0005644
24,4089.5,1.66285,0.88189,0.88951,0.7914,0.82507,0.86318,0.40038,1.77451,0.93136,0.89759,0.0005446,0.0005446,0.0005446
25,4252.77,1.65893,0.88756,0.89219,0.78753,0.84466,0.87298,0.42987,1.67715,0.86565,0.88302,0.0005248,0.0005248,0.0005248
26,4416.46,1.66066,0.87889,0.88888,0.79424,0.83495,0.87703,0.41733,1.71336,0.87333,0.88734,0.000505,0.000505,0.000505
27,4579.62,1.64986,0.87418,0.88756,0.81152,0.80825,0.87043,0.41648,1.71223,0.90783,0.89029,0.0004852,0.0004852,0.0004852
28,4743.33,1.64067,0.86705,0.88645,0.79475,0.84211,0.8836,0.43831,1.65905,0.86751,0.88318,0.0004654,0.0004654,0.0004654
29,4906.81,1.64452,0.86834,0.88636,0.80847,0.80631,0.8754,0.41664,1.72941,0.88215,0.88968,0.0004456,0.0004456,0.0004456
30,5073.25,1.63451,0.84999,0.88494,0.79441,0.84036,0.87992,0.44151,1.62252,0.84578,0.87704,0.0004258,0.0004258,0.0004258
31,5237.06,1.63351,0.84283,0.88404,0.80184,0.83089,0.87762,0.4253,1.69739,0.86373,0.88558,0.000406,0.000406,0.000406
32,5400.6,1.61664,0.85023,0.88534,0.79885,0.8301,0.88162,0.43909,1.64635,0.85805,0.88041,0.0003862,0.0003862,0.0003862
33,5563.93,1.62404,0.85303,0.88326,0.81771,0.82718,0.88066,0.43516,1.65041,0.85273,0.88051,0.0003664,0.0003664,0.0003664
34,5727.36,1.61171,0.8404,0.88204,0.79893,0.84098,0.87956,0.43698,1.6521,0.86196,0.87926,0.0003466,0.0003466,0.0003466
35,5891.15,1.62162,0.84022,0.88247,0.79869,0.8432,0.88456,0.44315,1.61621,0.84839,0.87606,0.0003268,0.0003268,0.0003268
36,6054.93,1.60909,0.83735,0.88193,0.79306,0.85203,0.88296,0.43862,1.63811,0.85384,0.87776,0.000307,0.000307,0.000307
37,6219.21,1.60167,0.81799,0.88505,0.80153,0.84104,0.88277,0.44118,1.63148,0.83315,0.87698,0.0002872,0.0002872,0.0002872
38,6382.27,1.6072,0.8248,0.87733,0.80157,0.83835,0.88592,0.44072,1.63355,0.84074,0.87605,0.0002674,0.0002674,0.0002674
